archivo,codigo,nombre
4_Disciplinar/2_AnálisisFuncionalDeMáquinas.doc,MC1001,Análisis funcional de máquinas
4_Disciplinar/3_MecánicaExperimental.doc,MC2001,Mecánica experimental
4_Disciplinar/4_DiseñoDeMecanismos.doc,MC2002,Diseño de Mecanismos
4_Disciplinar/4_FundamentosDeDiseñoDeMaquinas.doc,MC2004,Fundamentos de Diseño de Maquinas
4_Disciplinar/4_IngenieríaAsistidaPorComputador.doc,MC2003,Ingeniería Asistida Por Computador
4_Disciplinar/4_Termofluidos1.doc,CI2004,Termofluidos 1
4_Disciplinar/5_DiseñoDeMáquinas.doc,MC3001,Diseño de Máquinas
4_Disciplinar/5_ExperimentaciónEnTermofluidos.doc,CI3002,Experimentación en Termofluidos
4_Disciplinar/5_IngenieríaDelMantenimiento.doc,MC3002,Ingeniería del Mantenimiento
4_Disciplinar/5_Termofluidos2.doc,CI3001,Termofluidos 2
